hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,77,2015,July,27,1,2,5,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,94.0,0,0,Check-Out,2015-07-08
Resort Hotel,0,99,2015,July,27,1,2,5,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,87.3,1,1,Check-Out,2015-07-08
Resort Hotel,1,96,2015,July,27,1,2,8,2,0.0,0,bb,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0.0,0.0,0,Transient,108.3,0,2,Canceled,2015-05-29
Resort Hotel,0,69,2015,July,27,2,2,4,2,0.0,0,bb,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175.0,0.0,0,Transient,65.5,0,0,Check-Out,2015-07-08
Resort Hotel,0,15,2015,July,27,2,1,3,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,98.0,0,0,Check-Out,2015-07-06
Resort Hotel,0,70,2015,July,27,2,2,3,2,0.0,0,hb,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,0.0,0,Transient,137.0,0,1,Check-Out,2015-07-07
Resort Hotel,1,45,2015,July,27,2,2,3,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,0.0,0,Transient,117.81,0,0,Canceled,2015-05-18
Resort Hotel,0,45,2015,July,27,2,2,3,2,0.0,0,bb,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,0.0,0,Contract,79.5,0,0,Check-Out,2015-07-07
Resort Hotel,0,16,2015,July,27,2,2,3,2,0.0,0,bb,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-07
Resort Hotel,0,107,2015,July,27,2,2,5,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,110.7,0,2,Check-Out,2015-07-09
Resort Hotel,0,96,2015,July,27,2,2,5,2,0.0,0,bb,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,0.0,0,Transient,58.95,0,1,Check-Out,2015-07-09
Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,bb,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156.0,0.0,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09
Resort Hotel,0,90,2015,July,27,2,2,5,2,0.0,0,hb,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243.0,0.0,0,Contract,82.35,0,0,Check-Out,2015-07-09
Resort Hotel,0,50,2015,July,27,2,2,5,2,0.0,0,hb,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241.0,0.0,0,Transient,119.35,0,1,Check-Out,2015-07-09
Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,bb,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,0.0,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09
Resort Hotel,0,93,2015,July,27,2,3,8,2,0.0,0,bb,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,0.0,0,Contract,56.01,0,0,Check-Out,2015-07-13
Resort Hotel,0,3,2015,July,27,2,0,1,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,88.2,1,0,Check-Out,2015-07-03
Resort Hotel,0,1,2015,July,27,2,0,1,2,0.0,0,bb,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,0.0,0,Transient,147.0,1,0,Check-Out,2015-07-03
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,bb,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0.0,0.0,0,Transient,147.0,0,0,Check-Out,2015-07-03
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0.0,0,Transient,117.9,0,2,Check-Out,2015-07-03
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,bb,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-03
Resort Hotel,0,14,2015,July,27,2,0,2,2,0.0,0,bb,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242.0,0.0,0,Transient,98.0,0,1,Check-Out,2015-07-04
Resort Hotel,0,10,2015,July,27,2,0,2,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,0.0,0,Transient,117.81,0,0,Check-Out,2015-07-04
Resort Hotel,0,5,2015,July,27,2,0,2,2,0.0,0,bb,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,135.0,1,2,Check-Out,2015-07-04
Resort Hotel,0,17,2015,July,27,2,0,3,2,0.0,0,bb,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,0.0,0,Transient,133.0,0,1,Check-Out,2015-07-05
Resort Hotel,0,93,2015,July,27,2,0,3,2,0.0,0,bb,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115.0,0.0,0,Contract,58.95,0,0,Check-Out,2015-07-05
Resort Hotel,1,3,2015,July,27,2,0,3,2,0.0,0,hb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,136.33,0,2,Canceled,2015-06-29
Resort Hotel,0,3,2015,July,27,3,0,2,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,110.5,0,0,Check-Out,2015-07-05
Resort Hotel,0,51,2015,July,27,3,0,2,2,0.0,0,bb,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,0.0,0,Transient,97.0,0,0,Check-Out,2015-07-05
Resort Hotel,1,63,2015,July,27,3,0,2,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,82.0,0,2,Canceled,2015-06-18
Resort Hotel,1,62,2015,July,27,3,0,2,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,97.0,0,1,Canceled,2015-07-03
Resort Hotel,1,101,2015,July,27,3,0,2,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,73.8,0,1,Canceled,2015-06-12
Resort Hotel,0,2,2015,July,27,3,0,2,2,0.0,0,hb,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,0.0,0,Transient,91.5,0,0,Check-Out,2015-07-05
Resort Hotel,0,15,2015,July,27,3,0,2,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,114.5,0,0,Check-Out,2015-07-05
Resort Hotel,0,3,2015,July,27,3,1,2,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,90.9,1,0,Check-Out,2015-07-06
Resort Hotel,1,48,2015,July,27,3,1,2,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,123.0,0,0,Canceled,2015-05-26
Resort Hotel,0,72,2015,July,27,3,2,2,2,0.0,0,bb,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105.0,0.0,0,Transient,110.7,1,0,Check-Out,2015-07-07
Resort Hotel,0,99,2015,July,27,3,2,7,2,0.0,0,bb,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0.0,0,Contract,58.95,0,0,Check-Out,2015-07-12
Resort Hotel,1,81,2015,July,27,3,3,7,2,0.0,0,hb,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,0.0,0,Transient,124.0,0,1,Canceled,2015-06-09
Resort Hotel,0,99,2015,July,27,3,3,7,2,0.0,0,hb,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115.0,0.0,0,Contract,111.15,0,0,Check-Out,2015-07-13
Resort Hotel,0,12,2015,July,27,3,0,1,2,0.0,0,bb,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,73.8,0,0,Check-Out,2015-07-04
Resort Hotel,0,9,2015,July,27,3,0,1,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,98.0,1,2,Check-Out,2015-07-04
Resort Hotel,0,1,2015,July,27,3,0,1,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,131.0,0,1,Check-Out,2015-07-04
Resort Hotel,0,21,2015,July,27,3,0,1,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-04
Resort Hotel,0,9,2015,July,27,3,0,1,2,0.0,0,bb,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241.0,0.0,0,Transient,94.71,0,0,Check-Out,2015-07-04
Resort Hotel,0,109,2015,July,27,3,0,1,2,0.0,0,bb,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,123.0,0,2,Check-Out,2015-07-04
Resort Hotel,1,109,2015,July,27,3,0,2,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,123.0,0,1,Canceled,2015-05-26
Resort Hotel,1,72,2015,July,27,3,0,2,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,73.8,0,1,Canceled,2015-06-29
Resort Hotel,1,63,2015,July,27,3,2,5,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242.0,0.0,0,Transient,117.0,0,1,Canceled,2015-05-13
Resort Hotel,0,102,2015,July,27,3,2,5,2,0.0,0,bb,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,0.0,0,Transient,90.95,0,0,Check-Out,2015-07-10
Resort Hotel,0,4,2015,July,27,4,2,1,2,0.0,0,bb,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,0.0,0,Transient,92.67,0,1,Check-Out,2015-07-07
Resort Hotel,0,98,2015,July,27,4,2,1,2,0.0,0,bb,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,0.0,0,Transient,71.55,1,0,Check-Out,2015-07-07
Resort Hotel,0,95,2015,July,27,4,2,4,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,85.8,1,2,Check-Out,2015-07-10
Resort Hotel,0,102,2015,July,27,4,2,5,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,96.3,0,1,Check-Out,2015-07-11
Resort Hotel,1,102,2015,July,27,4,2,5,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,110.7,0,1,Canceled,2015-04-22
Resort Hotel,0,115,2015,July,27,4,2,5,2,0.0,0,bb,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,0.0,0,Transient,58.95,0,1,Check-Out,2015-07-11
Resort Hotel,0,86,2015,July,27,4,2,5,2,0.0,0,bb,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,97.0,0,2,Check-Out,2015-07-11
Resort Hotel,0,52,2015,July,27,4,2,5,2,0.0,0,bb,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147.0,0.0,0,Transient,67.24,0,0,Check-Out,2015-07-11
Resort Hotel,1,101,2015,July,27,4,2,6,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,96.3,0,1,Canceled,2015-05-12
Resort Hotel,0,109,2015,July,27,4,2,6,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,123.0,0,1,Check-Out,2015-07-12
Resort Hotel,0,92,2015,July,27,4,4,6,2,0.0,0,bb,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0.0,0,Contract,71.55,0,1,Check-Out,2015-07-14
Resort Hotel,0,92,2015,July,27,4,4,6,2,0.0,0,bb,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0.0,0,Contract,71.55,0,1,Check-Out,2015-07-14
Resort Hotel,0,30,2015,July,27,4,0,1,2,0.0,0,bb,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,8.0,0.0,0,Contract,79.5,0,0,Check-Out,2015-07-05
Resort Hotel,1,73,2015,July,27,4,0,1,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,73.8,0,2,Canceled,2015-05-13
Resort Hotel,1,33,2015,July,27,4,0,1,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,113.0,0,0,Canceled,2015-06-16
Resort Hotel,0,8,2015,July,27,4,0,1,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-05
Resort Hotel,0,100,2015,July,27,4,1,1,2,0.0,0,bb,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient-Party,73.8,1,1,Check-Out,2015-07-06
Resort Hotel,0,1,2015,July,27,4,1,1,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,114.5,0,0,Check-Out,2015-07-06
Resort Hotel,0,100,2015,July,27,4,1,1,2,0.0,0,bb,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient-Party,73.8,0,2,Check-Out,2015-07-06
Resort Hotel,0,100,2015,July,27,4,1,1,2,0.0,0,bb,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient-Party,73.8,0,1,Check-Out,2015-07-06
Resort Hotel,0,9,2015,July,28,5,1,0,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,88.2,0,1,Check-Out,2015-07-06
Resort Hotel,1,5,2015,July,28,5,1,0,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,97.0,0,0,Canceled,2015-07-01
Resort Hotel,0,0,2015,July,28,5,1,0,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,306.0,0.0,0,Transient,85.1,0,0,Check-Out,2015-07-06
Resort Hotel,0,2,2015,July,28,5,1,0,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,0.0,0,Transient,98.0,0,0,Check-Out,2015-07-06
Resort Hotel,0,2,2015,July,28,5,1,0,2,0.0,0,bb,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0.0,0.0,0,Transient,167.0,0,1,Check-Out,2015-07-06
Resort Hotel,0,80,2015,July,28,5,2,0,2,0.0,0,bb,FRA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,0.0,0,Transient,97.0,1,0,Check-Out,2015-07-07
Resort Hotel,0,97,2015,July,28,5,2,2,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,87.3,0,2,Check-Out,2015-07-09
Resort Hotel,0,30,2015,July,28,5,2,3,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-10
Resort Hotel,0,64,2015,July,28,5,2,3,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,107.0,0,0,Check-Out,2015-07-10
Resort Hotel,0,39,2015,July,28,5,2,4,2,0.0,0,bb,ESP,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,0.0,0,Transient,163.0,0,0,Check-Out,2015-07-11
Resort Hotel,0,90,2015,July,28,5,2,4,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,82.0,0,0,Check-Out,2015-07-11
Resort Hotel,1,93,2015,July,28,5,2,5,2,0.0,0,hb,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,0.0,0,Transient,105.5,0,0,Canceled,2015-05-01
Resort Hotel,0,29,2015,July,28,5,2,5,2,0.0,0,bb,IRL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,0.0,0,Transient,97.29,0,1,Check-Out,2015-07-12
Resort Hotel,1,101,2015,July,28,5,2,5,2,0.0,0,hb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,114.0,0,1,Canceled,2015-03-30
Resort Hotel,0,27,2015,July,28,5,2,5,2,0.0,0,bb,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,175.0,0.0,0,Transient,98.4,0,0,Check-Out,2015-07-12
Resort Hotel,0,82,2015,July,28,5,4,6,2,0.0,0,bb,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,0.0,0,Transient,63.6,1,2,Check-Out,2015-07-15
Resort Hotel,0,110,2015,July,28,5,4,7,2,0.0,0,bb,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0.0,0,Contract,110.7,0,0,Check-Out,2015-07-16
Resort Hotel,0,111,2015,July,28,6,1,3,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,123.0,0,2,Check-Out,2015-07-10
Resort Hotel,0,51,2015,July,28,6,1,3,2,0.0,0,bb,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,0.0,0,Transient,117.81,1,2,Check-Out,2015-07-10
Resort Hotel,0,111,2015,July,28,6,0,0,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,H,0,No Deposit,240.0,0.0,0,Transient,0.0,0,2,Check-Out,2015-07-06
Resort Hotel,0,7,2015,July,28,6,1,1,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,0.0,0,Transient,98.0,0,2,Check-Out,2015-07-08
Resort Hotel,0,98,2015,July,28,6,1,1,2,0.0,0,bb,USA,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,240.0,0.0,0,Transient,87.3,1,1,Check-Out,2015-07-08
Resort Hotel,0,95,2015,July,28,6,1,2,2,0.0,0,bb,GRC,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,97.0,0,1,Check-Out,2015-07-09
Resort Hotel,1,48,2015,July,28,6,1,3,2,0.0,0,hb,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,167.0,0,0,Canceled,2015-06-03
Resort Hotel,0,66,2015,July,28,6,1,3,2,0.0,0,hb,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,175.0,0.0,0,Transient,91.5,0,0,Check-Out,2015-07-10
Resort Hotel,0,104,2015,July,28,6,1,3,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,240.0,0.0,0,Transient,73.8,0,1,Check-Out,2015-07-10
Resort Hotel,0,28,2015,July,28,6,1,4,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-11
Resort Hotel,0,34,2015,July,28,6,1,4,2,0.0,0,hb,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,0.0,0,Transient,175.0,1,0,Check-Out,2015-07-11
Resort Hotel,0,98,2015,July,28,6,1,5,2,0.0,0,hb,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,117.8,1,1,Check-Out,2015-07-12
Resort Hotel,0,104,2015,July,28,6,1,5,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,0.0,0,Transient,117.63,0,0,Check-Out,2015-07-12
Resort Hotel,0,258,2015,July,28,6,2,5,2,0.0,0,bb,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,2.0,0.0,0,Contract,47.25,0,0,Check-Out,2015-07-13
Resort Hotel,0,111,2015,July,28,6,3,5,2,0.0,0,hb,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,151.0,0,1,Check-Out,2015-07-14
Resort Hotel,1,94,2015,July,28,6,3,7,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,87.3,0,0,Canceled,2015-05-14
Resort Hotel,0,112,2015,July,28,6,3,7,2,0.0,0,bb,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0.0,0,Transient,120.6,0,1,Check-Out,2015-07-16
Resort Hotel,0,100,2015,July,28,6,3,7,2,0.0,0,bb,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,241.0,0.0,0,Transient,63.86,0,1,Check-Out,2015-07-16
Resort Hotel,0,33,2015,July,28,6,3,7,2,0.0,0,hb,PRT,Direct,Direct,0,0,0,F,F,5,No Deposit,250.0,0.0,0,Transient,157.1,0,1,Check-Out,2015-07-16
Resort Hotel,0,97,2015,July,28,6,3,7,2,0.0,0,hb,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,0.0,0,Contract,91.37,0,2,Check-Out,2015-07-16
Resort Hotel,0,65,2015,July,28,6,2,5,2,0.0,0,bb,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,127.0,0.0,0,Transient,83.5,0,0,Check-Out,2015-07-13
Resort Hotel,1,67,2015,July,28,7,0,2,2,0.0,0,bb,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,73.8,0,1,Canceled,2015-05-07
